Name,Brand,Model,Year,KM Driven,Fuel,Transmission,Ownership,Price,Location
Maruti BREZZA,Maruti,BREZZA,2023,70672,CNG,Manual,1,881000,"Bachupally, Hyderabad"
Hyundai Grand i10,Hyundai,Grand i10,2019,41002,Petrol,Manual,1,430000,"Bachupally, Hyderabad"
Hyundai Elite i20,Hyundai,Elite i20,2019,60579,Petrol,Auto,2,570000,"Upperpally, Attapur, Hyderabad"
Hyundai VENUE,Hyundai,VENUE,2021,52318,Diesel,Manual,1,879000,"Kompally, Hyderabad"
Maruti Alto K10,Maruti,Alto K10,2017,34727,Petrol,Auto,1,264000,"Upperpally, Attapur, Hyderabad"
Nissan Terrano,Nissan,Terrano,2014,147366,Diesel,Manual,1,330000,"Kompally, Hyderabad"
Renault Kwid,Renault,Kwid,2018,43357,Petrol,Manual,2,238000,"Kompally, Hyderabad"
Honda Amaze,Honda,Amaze,2023,49814,Petrol,Manual,1,624000,"Kompally, Hyderabad"
Maruti New Wagon-R,Maruti,New Wagon-R,2019,48974,Petrol,Manual,1,400200,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Maruti Swift,Maruti,Swift,2017,48231,Diesel,Manual,1,435000,"Kompally, Hyderabad"
Nissan MAGNITE,Nissan,MAGNITE,2024,12406,Petrol,Manual,1,651000,"Bachupally, Hyderabad"
Hyundai Creta,Hyundai,Creta,2021,47970,Petrol,Auto,1,1200000,"Kompally, Hyderabad"
Tata NEXON,Tata,NEXON,2023,43754,Petrol,Manual,1,934000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Hyundai EXTER,Hyundai,EXTER,2023,36887,Petrol,Auto,1,751000,"Kompally, Hyderabad"
Tata TIGOR,Tata,TIGOR,2022,84637,CNG,Manual,1,550000,"Kompally, Hyderabad"
Hyundai VENUE,Hyundai,VENUE,2019,63227,Petrol,Manual,1,644844,"Bachupally, Hyderabad"
Datsun Redi Go,Datsun,Redi Go,2019,73399,Petrol,Auto,1,213000,"Kompally, Hyderabad"
Maruti Baleno,Maruti,Baleno,2020,62862,Petrol,Manual,1,493315,"Bachupally, Hyderabad"
Mahindra Thar,Mahindra,Thar,2023,27242,Petrol,Auto,1,1225000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
KIA SONET,KIA,SONET,2021,47881,Petrol,Manual,1,665000,"Upperpally, Attapur, Hyderabad"
Maruti Swift,Maruti,Swift,2020,80297,Petrol,Auto,1,500000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Honda Amaze,Honda,Amaze,2023,16246,Petrol,Auto,1,703000,"Kompally, Hyderabad"
Hyundai NEW SANTRO,Hyundai,NEW SANTRO,2020,34108,Petrol,Manual,1,355000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Toyota URBAN CRUISER,Toyota,URBAN CRUISER,2020,145579,Petrol,Auto,1,661000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Maruti Dzire,Maruti,Dzire,2019,46580,Petrol,Manual,1,507640,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Maruti Ertiga,Maruti,Ertiga,2017,68394,Diesel,Manual,1,715400,"Bachupally, Hyderabad"
Maruti Ertiga,Maruti,Ertiga,2022,16466,Petrol,Auto,1,959273,"Kompally, Hyderabad"
Honda City,Honda,City,2020,60811,Petrol,Auto,1,861000,"Kompally, Hyderabad"
Tata TIGOR,Tata,TIGOR,2017,134427,Petrol,Manual,1,339000,"Kompally, Hyderabad"
Maruti Ritz,Maruti,Ritz,2013,66076,Petrol,Manual,1,228040,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,2014,115132,Petrol,Manual,1,208000,"Kompally, Hyderabad"
Maruti Baleno,Maruti,Baleno,2018,66971,Petrol,Auto,1,442000,"Bachupally, Hyderabad"
Tata NEXON,Tata,NEXON,2023,19397,Petrol,Manual,2,860000,"Kompally, Hyderabad"
Datsun Redi Go,Datsun,Redi Go,2018,69854,Petrol,Manual,1,222327,"Kompally, Hyderabad"
Hyundai i10,Hyundai,i10,2013,71155,Petrol,Manual,1,254083,"Bachupally, Hyderabad"
Hyundai Verna,Hyundai,Verna,2018,101963,Diesel,Auto,1,745000,"Bachupally, Hyderabad"
Maruti Dzire,Maruti,Dzire,2018,40523,Petrol,Manual,1,472000,"Bachupally, Hyderabad"
Volkswagen Polo,Volkswagen,Polo,2015,143803,Diesel,Manual,1,360000,"Bachupally, Hyderabad"
